time,double_latitude,double_longitude,double_speed,user
1364664209,43.7066717,-72.2891248,0.0,gps_u01
1364665409,43.7066591,-72.2890299,0.0,gps_u01
1364666609,43.7066381,-72.2890525,0.0,gps_u01
1364667809,43.7066196,-72.2889731,0.0,gps_u01
1364669009,43.7067375,-72.289311,0.0,gps_u01
1364670209,43.7066707,-72.2890557,0.0,gps_u01
1364671410,43.7043692,-72.3004918,0.0,gps_u01
1364672609,43.7042764,-72.3003174,0.0,gps_u01
1364673809,43.7043009,-72.3003935,0.0,gps_u01
1364675009,43.7042322,-72.3000817,0.0,gps_u01
1364676209,43.7040657,-72.300121,0.0,gps_u01
1364677409,43.7042967,-72.3004037,0.0,gps_u01
1364679809,43.7066185,-72.2890453,0.0,gps_u01
1364681009,43.7066099,-72.2890214,0.0,gps_u01
1364682209,43.7066532,-72.2890016,0.0,gps_u01
1364683409,43.7066401,-72.2890398,0.0,gps_u01
1364684609,43.7066596,-72.2890019,0.0,gps_u01
1364685809,43.7066382,-72.2890523,0.0,gps_u01
1364687009,43.7066482,-72.2890399,0.0,gps_u01
1364688209,43.7066567,-72.2890125,0.0,gps_u01
1364689409,43.7067005,-72.2891097,0.0,gps_u01
1364690609,43.7066693,-72.2891012,0.0,gps_u01
1364691809,43.706676,-72.2890579,0.0,gps_u01
1364693009,43.7066726,-72.2891345,0.0,gps_u01
1364694209,43.7066611,-72.2890893,0.0,gps_u01
1364695409,43.7066621,-72.2890659,0.0,gps_u01
1364696605,43.70680994,-72.28923207,0.25,gps_u01
1364697809,43.7066206,-72.2889747,0.0,gps_u01
1364699009,43.7066916,-72.289135,0.0,gps_u01
1364700209,43.7066521,-72.2889669,0.0,gps_u01
1364701409,43.706637,-72.2891136,0.0,gps_u01
1364702609,43.7067127,-72.2894809,0.0,gps_u01
1364703809,43.7066666,-72.2890654,0.0,gps_u01
1364705009,43.7066844,-72.2890837,0.0,gps_u01
1364706209,43.7066641,-72.2890369,0.0,gps_u01
1364707409,43.7066799,-72.2890732,0.0,gps_u01
1364708605,43.70684905,-72.2890377,0.0,gps_u01
1364709805,43.70676736,-72.28916042,0.0,gps_u01
1364711005,43.70677502,-72.28908747,0.0,gps_u01
1364712204,43.70669965,-72.28905039,0.9013878,gps_u01
1364713409,43.706669,-72.2891002,0.0,gps_u01
1364714609,43.7066525,-72.2890761,0.0,gps_u01
1364715805,43.70659035,-72.28942062,0.0,gps_u01
1364717009,43.7066749,-72.2890579,0.0,gps_u01
1364718209,43.7066958,-72.2891272,0.0,gps_u01
1364719403,43.70675741,-72.28922604,0.25,gps_u01
1364720609,43.7066537,-72.2890687,0.0,gps_u01
1364721804,43.70677532,-72.28915739,0.0,gps_u01
1364723004,43.70669665,-72.28913702,0.0,gps_u01
1364724202,43.70683089,-72.28921574,0.559017,gps_u01
1364725409,43.7066559,-72.2890573,0.0,gps_u01
1364726609,43.7066623,-72.2890932,0.0,gps_u01
1364727804,43.7069021,-72.28914778,0.0,gps_u01
1364729009,43.7066774,-72.2890689,0.0,gps_u01
1364730209,43.7066787,-72.2891022,0.0,gps_u01
1364731409,43.7066785,-72.2890522,0.0,gps_u01
1364732609,43.7066806,-72.2890814,0.0,gps_u01
1364733809,43.7066722,-72.2891463,0.0,gps_u01
1364735011,43.70671439,-72.28924089,0.0,gps_u01
1364736209,43.7066726,-72.2890697,0.0,gps_u01
1364737411,43.70672338,-72.28919139,0.0,gps_u01
1364738609,43.7066529,-72.2890788,0.0,gps_u01
1364739809,43.7066683,-72.2890602,0.0,gps_u01
1364741009,43.7066994,-72.2891321,0.0,gps_u01
1364742209,43.7066652,-72.2890105,0.0,gps_u01
1364743409,43.7067606,-72.2892529,0.0,gps_u01
1364744609,43.7067452,-72.2892472,0.0,gps_u01
1364745810,43.70684681,-72.28918176,0.0,gps_u01
1364747006,43.70664595,-72.28919965,0.0,gps_u01
1364748209,43.7066725,-72.2890901,0.0,gps_u01
1364749409,43.7066556,-72.2890448,0.0,gps_u01
1364750609,43.7066176,-72.289066,0.0,gps_u01
1364751809,43.7066528,-72.2890238,0.0,gps_u01
1364753009,43.7066529,-72.2890236,0.0,gps_u01
1364754209,43.7066531,-72.2889631,0.0,gps_u01
1364755409,43.7066397,-72.2890514,0.0,gps_u01
1364756609,43.7066542,-72.2889933,0.0,gps_u01
1364757809,43.7066522,-72.2889803,0.0,gps_u01
1364759009,43.7066539,-72.2889664,0.0,gps_u01
1364760209,43.706654,-72.2889756,0.0,gps_u01
